# TIME = 0.000000
VARIABLES = X, Y, Z, U, V, W
ZONE N=362 E=720 F=FEPOINT ET=TRIANGLE
0.0000000 0.9285412 1.4868490 0.00000 0.00000 0.00000
0.0000000 0.9836132 1.3069044 0.00000 0.00000 0.00000
0.0000000 1.0042690 1.1042690 0.00000 0.00000 0.00000
0.0000000 0.9836132 0.9016335 0.00000 0.00000 0.00000
0.0000000 0.9285412 0.7216890 0.00000 0.00000 0.00000
-0.6695126 0.7485379 1.1042690 0.00000 0.00000 0.00000
-0.5249058 0.8493154 0.9961324 0.00000 0.00000 0.00000
-0.3499372 0.9161474 0.8879959 0.00000 0.00000 0.00000
-0.1673782 0.9403362 0.7939328 0.00000 0.00000 0.00000
-0.5249058 0.8493154 1.2124055 0.00000 0.00000 0.00000
-0.3583453 0.9381603 1.1042690 0.00000 0.00000 0.00000
-0.1749686 0.9829795 0.9961324 0.00000 0.00000 0.00000
-0.3499372 0.9161474 1.3205420 0.00000 0.00000 0.00000
-0.1749686 0.9829795 1.2124055 0.00000 0.00000 0.00000
-0.1673782 0.9403362 1.4146051 0.00000 0.00000 0.00000
0.8694293 -0.4782250 1.2590258 0.00000 0.00000 0.00000
0.8583776 -0.4052709 1.4321400 0.00000 0.00000 0.00000
0.8124707 -0.3103362 1.6064034 0.00000 0.00000 0.00000
0.7331420 -0.2026355 1.7600111 0.00000 0.00000 0.00000
0.6329819 -0.0956450 1.8780533 0.00000 0.00000 0.00000
0.4782250 -0.1547569 1.9736983 0.00000 0.00000 0.00000
0.4052709 -0.3278711 1.9626466 0.00000 0.00000 0.00000
0.3103362 -0.5021345 1.9167396 0.00000 0.00000 0.00000
0.2026355 -0.6557422 1.8374110 0.00000 0.00000 0.00000
0.0956450 -0.7737843 1.7372508 0.00000 0.00000 0.00000
0.7729580 -0.5811597 1.3750925 0.00000 0.00000 0.00000
0.6330423 -0.6743468 1.4955106 0.00000 0.00000 0.00000
0.4580737 -0.7411788 1.6036471 0.00000 0.00000 0.00000
0.2708236 -0.7729580 1.6854287 0.00000 0.00000 0.00000
0.7411788 -0.4993782 1.5623427 0.00000 0.00000 0.00000
0.5798150 -0.5798150 1.6840839 0.00000 0.00000 0.00000
0.3912417 -0.6330423 1.7786157 0.00000 0.00000 0.00000
0.6743468 -0.3912417 1.7373113 0.00000 0.00000 0.00000
0.4993782 -0.4580737 1.8454478 0.00000 0.00000 0.00000
0.5811597 -0.2708236 1.8772270 0.00000 0.00000 0.00000
0.7737843 -0.6329819 1.0086240 0.00000 0.00000 0.00000
0.6557422 -0.7331420 0.9016335 0.00000 0.00000 0.00000
0.5021345 -0.8124707 0.7939328 0.00000 0.00000 0.00000
0.3278711 -0.8583776 0.6989980 0.00000 0.00000 0.00000
0.1547569 -0.8694293 0.6260440 0.00000 0.00000 0.00000
0.5811597 -0.2708236 0.3313109 0.00000 0.00000 0.00000
0.4993782 -0.4580737 0.3630901 0.00000 0.00000 0.00000
0.3912417 -0.6330423 0.4299222 0.00000 0.00000 0.00000
0.2708236 -0.7729580 0.5231092 0.00000 0.00000 0.00000
0.6743468 -0.3912417 0.4712267 0.00000 0.00000 0.00000
0.5798150 -0.5798150 0.5244540 0.00000 0.00000 0.00000
0.4580737 -0.7411788 0.6048908 0.00000 0.00000 0.00000
0.7411788 -0.4993782 0.6461953 0.00000 0.00000 0.00000
0.6330423 -0.6743468 0.7130273 0.00000 0.00000 0.00000
0.7729580 -0.5811597 0.8334454 0.00000 0.00000 0.00000
0.7737843 -0.6329819 1.1999140 0.00000 0.00000 0.00000
0.6557422 -0.7331420 1.3069044 0.00000 0.00000 0.00000
0.5021345 -0.8124707 1.4146051 0.00000 0.00000 0.00000
0.3278711 -0.8583776 1.5095399 0.00000 0.00000 0.00000
0.1547569 -0.8694293 1.5824940 0.00000 0.00000 0.00000
0.0000000 -0.9285412 1.4868490 0.00000 0.00000 0.00000
0.0000000 -0.9836132 1.3069044 0.00000 0.00000 0.00000
0.0000000 -1.0042690 1.1042690 0.00000 0.00000 0.00000
0.0000000 -0.9836132 0.9016335 0.00000 0.00000 0.00000
0.0000000 -0.9285412 0.7216890 0.00000 0.00000 0.00000
0.6695126 -0.7485379 1.1042690 0.00000 0.00000 0.00000
0.5249058 -0.8493154 0.9961324 0.00000 0.00000 0.00000
0.3499372 -0.9161474 0.8879959 0.00000 0.00000 0.00000
0.1673782 -0.9403362 0.7939328 0.00000 0.00000 0.00000
0.5249058 -0.8493154 1.2124055 0.00000 0.00000 0.00000
0.3583453 -0.9381603 1.1042690 0.00000 0.00000 0.00000
0.1749686 -0.9829795 0.9961324 0.00000 0.00000 0.00000
0.3499372 -0.9161474 1.3205420 0.00000 0.00000 0.00000
0.1749686 -0.9829795 1.2124055 0.00000 0.00000 0.00000
0.1673782 -0.9403362 1.4146051 0.00000 0.00000 0.00000
-0.7737843 -0.6329819 1.1999140 0.00000 0.00000 0.00000
-0.6557422 -0.7331420 1.3069044 0.00000 0.00000 0.00000
-0.5021345 -0.8124707 1.4146051 0.00000 0.00000 0.00000
-0.3278711 -0.8583776 1.5095399 0.00000 0.00000 0.00000
-0.1547569 -0.8694293 1.5824940 0.00000 0.00000 0.00000
-0.5811597 -0.2708236 1.8772270 0.00000 0.00000 0.00000
-0.4993782 -0.4580737 1.8454478 0.00000 0.00000 0.00000
-0.3912417 -0.6330423 1.7786157 0.00000 0.00000 0.00000
-0.2708236 -0.7729580 1.6854287 0.00000 0.00000 0.00000
-0.6743468 -0.3912417 1.7373113 0.00000 0.00000 0.00000
-0.5798150 -0.5798150 1.6840839 0.00000 0.00000 0.00000
-0.4580737 -0.7411788 1.6036471 0.00000 0.00000 0.00000
-0.7411788 -0.4993782 1.5623427 0.00000 0.00000 0.00000
-0.6330423 -0.6743468 1.4955106 0.00000 0.00000 0.00000
-0.7729580 -0.5811597 1.3750925 0.00000 0.00000 0.00000
-0.8694293 -0.4782250 0.9495121 0.00000 0.00000 0.00000
-0.8583776 -0.4052709 0.7763979 0.00000 0.00000 0.00000
-0.8124707 -0.3103362 0.6021345 0.00000 0.00000 0.00000
-0.7331420 -0.2026355 0.4485268 0.00000 0.00000 0.00000
-0.6329819 -0.0956450 0.3304847 0.00000 0.00000 0.00000
-0.4782250 -0.1547569 0.2348397 0.00000 0.00000 0.00000
-0.4052709 -0.3278711 0.2458913 0.00000 0.00000 0.00000
-0.3103362 -0.5021345 0.2917983 0.00000 0.00000 0.00000
-0.2026355 -0.6557422 0.3711269 0.00000 0.00000 0.00000
-0.0956450 -0.7737843 0.4712871 0.00000 0.00000 0.00000
-0.7729580 -0.5811597 0.8334454 0.00000 0.00000 0.00000
-0.6330423 -0.6743468 0.7130273 0.00000 0.00000 0.00000
-0.4580737 -0.7411788 0.6048908 0.00000 0.00000 0.00000
-0.2708236 -0.7729580 0.5231092 0.00000 0.00000 0.00000
